邮箱后缀,跳转网址,区域/类型
@163.com,https://mail.163.com,中国/网易
@126.com,https://mail.126.com,中国/网易
@yeah.net,https://mail.yeah.net,中国/网易
@qq.com,https://mail.qq.com,中国/腾讯
@foxmail.com,https://www.foxmail.com,中国/腾讯
@sina.com,https://mail.sina.com.cn,中国/新浪
@sina.cn,https://mail.sina.com.cn,中国/新浪
@sohu.com,https://mail.sohu.com,中国/搜狐
@aliyun.com,https://mail.aliyun.com,中国/阿里
@139.com,https://mail.10086.cn,中国/中国移动
@189.cn,https://webmail30.189.cn,中国/中国电信
@wo.cn,https://mail.wo.cn,中国/中国联通
@tom.com,https://mail.tom.com,中国/TOM
@gmail.com,https://mail.google.com,全球/Google
@outlook.com,https://outlook.live.com,全球/微软
@hotmail.com,https://outlook.live.com,全球/微软
@live.com,https://outlook.live.com,全球/微软
@live.co.uk,https://outlook.live.com,英国/微软
@yahoo.com,https://mail.yahoo.com,全球/雅虎
@yahoo.co.uk,https://uk.mail.yahoo.com,英国/雅虎
@yahoo.co.jp,https://mail.yahoo.co.jp,日本/雅虎
@icloud.com,https://www.icloud.com/mail,全球/苹果
@me.com,https://www.icloud.com/mail,全球/苹果
@mac.com,https://www.icloud.com/mail,全球/苹果
@yandex.com,https://mail.yandex.com,全球/俄罗斯Yandex
@yandex.ru,https://mail.yandex.ru,俄罗斯/Yandex
@mail.ru,https://mail.ru,俄罗斯/Mail.ru
@proton.me,https://mail.proton.me,全球/瑞士Proton加密邮箱
@protonmail.com,https://mail.proton.me,全球/瑞士Proton加密邮箱
@zoho.com,https://www.zoho.com/mail,全球/Zoho
@zoho.com.cn,https://www.zoho.com.cn/mail,中国/Zoho
@gmx.com,https://www.gmx.com,全球/GMX
@gmx.de,https://www.gmx.net,德国/GMX
@web.de,https://web.de,德国/Web.de
@t-online.de,https://www.t-online.de,德国/ could be Deutsche Telekom
@aol.com,https://mail.aol.com,全球/AOL
@naver.com,https://mail.naver.com,韩国/Naver
@daum.net,https://mail.daum.net,韩国/Daum
@hanmail.net,https://mail.daum.net,韩国/Daum
@fastmail.com,https://www.fastmail.com,全球/Fastmail
@comcast.net,https://connect.xfinity.com,美国/Comcast
@att.net,https://currently.att.yahoo.com,美国/AT&T
